id,label,lat,long,time
albacete,Albacete,38.9950921,-1.8559153999999998,0.19321597252039505
alcantarilla,Alcantarilla,37.9674749,-1.2149851999999999,0.054054054054054064
amsterdam,Amsterdam,52.3727598,4.8936041,0.1891891891891892
aracena,Aracena,37.8949414,-6.5624496,0.10810810810810813
badajoz,Badajoz,38.8780585,-6.970204799999999,0.027777777777777776
bilbao,Bilbao,43.2630018,-2.9350039,0.7692307692307693
cartagena,Cartagena,37.6267868,-1.0006184,0.450837269214255
clermontferrand,Clermont Ferrand,45.777455100000005,3.0819427000000004,0.030769230769230767
doshermanas,Dos Hermanas,37.283689,-5.9226718,0.875
elpuertodesantamaria,El Puerto de Santa María,36.601468,-6.2381494,0.34349506225848003
fregenaldelasierra,Fregenal de la Sierra,38.1663968,-6.652574900000001,0.6056018168054503
gante,Gante,51.0538286,3.7250121,0.04166666666666666
granada,Granada,37.183054,-3.6021928,0.13183586102482445
jaen,Jaén,37.9557275,-3.4920556120372184,0.09599254426840634
jun,Jun,37.2217446,-3.5942907999999996,0.8275862068965517
liverpool,Liverpool,53.407154000000006,-2.9916650000000002,0.04166666666666666
lospalaciosyvillafranca,Los Palacios y Villafranca,37.1582119,-5.9244567,0.7567567567567568
madrid,Madrid,40.416704700000004,-3.7035824999999996,0.26939392079437496
malaga,Málaga,36.7213028,-4.421636599999999,0.027027027027027032
milan,Milan,45.4668,9.1905,0.027777777777777776
napoles,Nápoles,40.835933600000004,14.2487826,0.6666666666666666
oviedo,Oviedo,43.3605977,-5.8448989000000005,0.015384615384615384
paris,Paris,48.856696899999996,2.3514616000000004,0.027777777777777776
pau,Pau,43.2957547,-0.36856679999999997,0.18461538461538465
pavia,Pavía,45.03685465,9.137825082826026,0.027027027027027032
perugia,Perugia,43.1070321,12.402996209906487,0.027027027027027032
roma,Roma,41.8933203,12.4829321,0.10869290941206157
salerno,Salerno,40.41944165,15.310756230322482,0.027777777777777776
sevilla,Sevilla,37.388630299999996,-5.9953403,2.3689297738313635
utrillas,Utrillas,40.8127979,-0.8438735,0.45
valenciennes,Valenciennes,50.3579317,3.5234845999999997,0.0124516960068699
zafra,Zafra,38.4253473,-6.419300700000001,0.6666666666666666
zaragoza,Zaragoza,41.6521342,-0.8809428,0.55
