nombre,lugar,país,tiempo,latitud,longitud,tiempo_norm
Arqueoclío,Bilbao,España,0.769230769230769,43.2630018,-2.9350039,0.769230769230769
Arqueoclío,Pau,Francia,0.184615384615385,43.2957547,-0.3685668,0.184615384615385
Arqueoclío,Oviedo,España,0.015384615384615,43.3605977,-5.8448989,0.015384615384615
Arqueoclío,Clermont Ferrand,Francia,0.030769230769231,45.7774551,3.0819427,0.030769230769231
Naïve Bayes,Los Palacios y Villafranca,España,0.675675675675676,37.1582119,-5.9244567,0.675675675675676
Naïve Bayes,Sevilla,Espana,0.054054054054054,37.3886303,-5.9953403,0.054054054054054
Naïve Bayes,Los Palacios y Villafranca,España,0.081081081081081,37.1582119,-5.9244567,0.081081081081081
Naïve Bayes,Amsterdam,Países Bajos,0.189189189189189,52.3727598,4.8936041,0.189189189189189
Ladelsuroeste,Zafra,España,0.5,38.4253473,-6.4193007,0.5
Ladelsuroeste,Sevilla,España,0.305555555555556,37.3886303,-5.9953403,0.305555555555556
Ladelsuroeste,Badajoz,España,0.027777777777778,38.8780585,-6.9702048,0.027777777777778
Ladelsuroeste,Zafra,España,0.166666666666667,38.4253473,-6.4193007,0.166666666666667
María Diva,Dos Hermanas,España,0.833333333333333,37.283689,-5.9226718,0.833333333333333
María Diva,Gante,Bélgica,0.041666666666667,51.0538286,3.7250121,0.041666666666667
María Diva,Dos Hermanas,España,0.041666666666667,37.283689,-5.9226718,0.041666666666667
María Diva,Liverpool,Reino Unido,0.041666666666667,53.407154,-2.991665,0.041666666666667
María Diva,Sevilla,España,0.041666666666667,37.3886303,-5.9953403,0.041666666666667
Tomcody,Utrillas,España,0.45,40.8127979,-0.8438735,0.45
Tomcody,Zaragoza,España,0.55,41.6521342,-0.8809428,0.55
Cofiliquili,Alcantarilla,España,0.054054054054054,37.9674749,-1.2149852,0.054054054054054
Cofiliquili,Sevilla,España,0.081081081081081,37.3886303,-5.9953403,0.081081081081081
Cofiliquili,Madrid,España,0.027027027027027,40.4167047,-3.7035825,0.027027027027027
Cofiliquili,Sevilla,España,0.405405405405405,37.3886303,-5.9953403,0.405405405405405
Cofiliquili,Perugia,Italia,0.027027027027027,43.1070321,12.4029962099065,0.027027027027027
Cofiliquili,Sevilla,España,0.027027027027027,37.3886303,-5.9953403,0.027027027027027
Cofiliquili,Pavía,Italia,0.027027027027027,45.03685465,9.13782508282603,0.027027027027027
Cofiliquili,Sevilla,España,0.189189189189189,37.3886303,-5.9953403,0.189189189189189
Cofiliquili,Jaén,España,0.027027027027027,37.9557275,-3.49205561203722,0.027027027027027
Cofiliquili,Málaga,España,0.027027027027027,36.7213028,-4.4216366,0.027027027027027
Cofiliquili,Aracena,España,0.108108108108108,37.8949414,-6.5624496,0.108108108108108
Lorestan,Nápoles,Italia,0.666666666666667,40.8359336,14.2487826,0.666666666666667
Lorestan,Paris,Francia,0.027777777777778,48.8566969,2.3514616,0.027777777777778
Lorestan,Salerno,Italia,0.027777777777778,40.41944165,15.3107562303225,0.027777777777778
Lorestan,Milan,Italia,0.027777777777778,45.4668,9.1905,0.027777777777778
Lorestan,Roma,Italia,0.083333333333333,41.8933203,12.4829321,0.083333333333333
Lorestan,Madrid,España,0.166666666666667,40.4167047,-3.7035825,0.166666666666667
Gonzalo Romero,Madrid,España,0.075700227100681,40.4167047,-3.7035825,0.075700227100681
Gonzalo Romero,Fregenal de la Sierra,España,0.60560181680545,38.1663968,-6.6525749,0.60560181680545
Gonzalo Romero,Sevilla,España,0.264950794852384,37.3886303,-5.9953403,0.264950794852384
Gonzalo Romero,Roma,Italia,0.025359576078728,41.8933203,12.4829321,0.025359576078728
Gonzalo Romero,Granada,España,0.028387585162756,37.183054,-3.6021928,0.028387585162756
Prestigio B,Sevilla,España,1,37.3886303,-5.9953403,1
José Luis,Granada,España,0.103448275862069,37.183054,-3.6021928,0.103448275862069
José Luis,Jun,España,0.827586206896552,37.2217446,-3.5942908,0.827586206896552
José Luis,Jaén,España,0.068965517241379,37.9557275,-3.49205561203722,0.068965517241379
MT,Albacete,España,0.193215972520395,38.9950921,-1.8559154,0.193215972520395
MT,Cartagena,España,0.450837269214255,37.6267868,-1.0006184,0.450837269214255
MT,Valenciennes,Francia,0.01245169600687,50.3579317,3.5234846,0.01245169600687
MT,El Puerto de Santa María,España,0.34349506225848,36.601468,-6.2381494,0.34349506225848
